0	737	0.13
0	930	0.24
0	453	0.23
0	744	0.07
0	265	0.55
0	370	0.11
0	450	0.96
0	686	0.90
0	914	0.89
0	21	0.85
0	574	0.99
0	735	0.71
1	290	0.00
1	459	0.65
1	13	0.95
1	783	0.94
1	721	0.95
1	179	0.64
1	857	0.06
1	955	0.68
2	371	0.48
2	986	0.05
2	435	0.84
2	701	0.54
2	166	0.37
3	320	0.03
3	67	0.69
3	356	0.08
3	709	0.26
3	806	0.04
3	169	0.09
3	240	0.93
3	468	0.75
3	88	0.80
3	948	0.61
4	576	0.60
4	322	0.41
4	283	0.56
4	819	0.10
4	436	0.30
4	853	0.30
4	23	0.20
4	475	0.36
4	861	0.08
5	967	0.69
5	392	0.76
5	651	0.26
5	912	0.54
5	177	0.10
5	978	0.31
5	444	0.11
5	254	0.84
5	543	0.03
6	48	0.20
6	833	0.17
6	74	0.93
6	766	0.92
6	601	0.08
7	522	0.51
7	593	0.94
7	30	0.17
7	886	0.05
7	153	0.32
7	763	0.65
7	284	0.21
7	190	0.65
8	577	0.08
8	964	0.97
8	586	0.89
8	685	0.09
8	429	0.06
8	731	0.87
8	330	0.03
8	925	0.19
9	742	0.33
9	550	0.46
9	938	0.37
9	623	0.67
9	497	0.90
9	924	0.87
9	351	0.96
10	644	0.36
10	266	0.57
10	396	0.82
10	530	0.60
10	947	0.14
10	676	0.28
10	282	0.09
11	617	0.55
11	151	0.99
11	47	0.04
11	338	0.31
11	211	0.76
11	52	0.13
11	425	0.03
11	825	0.01
11	863	0.55
11	223	0.30
12	578	0.29
12	613	0.70
12	423	0.60
12	776	0.46
12	618	0.79
12	15	0.48
12	680	0.98
12	755	0.65
12	756	0.11
12	821	0.79
12	185	0.83
12	136	0.43
12	638	0.56
12	575	0.37
13	459	0.44
13	174	0.98
13	783	0.56
13	721	0.26
13	179	0.31
13	182	0.12
13	857	0.03
13	955	0.43
14	128	0.69
14	930	0.11
14	744	0.89
14	265	0.03
14	370	0.86
14	450	0.85
14	467	0.74
14	335	0.83
14	520	0.49
14	914	0.88
14	787	0.72
14	21	0.66
14	375	0.23
14	574	0.75
14	735	0.44
15	613	0.68
15	618	0.78
15	176	0.88
15	369	1.00
15	946	0.87
15	755	0.35
15	692	0.63
15	988	0.08
15	638	0.73
15	575	0.98
16	514	0.30
16	66	0.37
16	37	0.48
16	81	0.78
16	359	0.10
16	234	0.98
16	299	0.60
16	589	0.91
16	561	0.09
16	820	0.81
16	215	0.09
16	602	0.46
16	859	0.89
17	416	0.32
17	33	0.48
17	327	0.19
17	365	0.88
17	276	0.11
17	347	0.45
17	670	0.30
18	585	0.72
18	102	0.14
18	193	0.24
19	706	0.57
19	91	0.32
19	964	0.48
19	458	0.66
19	555	0.88
19	685	0.92
19	624	0.39
19	49	0.20
19	249	0.55
19	443	0.81
20	105	0.22
20	718	0.99
20	431	0.92
20	178	0.45
20	157	0.63
20	766	0.04
21	737	0.77
21	930	0.65
21	453	0.69
21	744	0.75
21	265	0.39
21	370	0.64
21	450	0.37
21	848	0.31
21	914	0.03
21	127	0.43
21	574	0.89
21	735	0.72
22	715	0.51
22	646	0.15
22	393	0.29
22	554	0.61
22	843	0.02
22	401	0.77
22	984	0.22
22	218	0.52
22	778	1.00
23	768	0.25
23	726	0.18
23	198	0.15
23	426	0.35
23	876	0.70
23	877	0.50
23	819	0.95
23	436	0.70
23	853	0.83
23	854	1.00
23	283	0.01
23	117	0.47
23	767	0.88
24	899	0.26
24	197	0.25
24	264	0.74
24	138	0.14
24	203	0.42
24	844	0.09
24	470	0.03
24	858	0.31
24	58	0.07
25	321	0.94
25	994	0.32
25	906	0.91
25	43	0.95
25	845	0.25
25	622	0.22
25	173	0.87
25	528	0.73
25	913	0.56
25	793	0.71
26	928	0.36
26	258	0.37
26	235	0.72
26	134	0.33
26	935	0.68
26	969	0.80
26	363	0.95
26	79	0.41
26	115	0.48
26	349	0.74
26	414	0.09
27	388	0.33
27	130	0.76
27	603	0.26
27	932	0.42
27	277	0.96
28	480	0.89
28	35	0.97
28	707	0.20
28	773	0.01
28	422	0.76
28	46	0.54
28	818	0.18
28	83	0.89
28	373	0.14
28	794	0.44
29	613	0.19
29	70	0.49
29	109	0.05
29	837	0.27
29	855	0.91
29	988	0.53
29	575	0.55
30	648	0.89
30	593	0.93
30	693	0.72
30	153	0.74
30	159	0.19
31	900	0.37
31	231	0.12
31	873	0.25
31	720	0.17
31	529	0.85
31	457	0.49
31	315	0.51
31	476	0.44
31	255	0.11
32	640	0.85
32	576	0.28
32	322	0.77
32	782	0.36
32	285	0.50
32	432	0.40
32	178	0.84
32	408	0.85
32	475	0.89
32	861	0.55
33	416	0.16
33	645	0.00
33	327	0.93
33	841	0.16
33	810	0.56
33	365	0.02
33	826	0.78
33	830	0.14
33	959	0.54
34	128	0.63
34	611	0.93
34	634	0.17
34	467	0.03
34	911	0.61
34	319	0.99
34	306	0.21
34	787	0.79
34	792	0.71
34	954	0.65
34	335	0.27
34	762	0.23
34	703	0.56
35	707	0.74
35	773	0.02
35	201	0.49
35	621	0.78
35	46	0.09
35	175	0.26
35	818	0.22
35	543	0.34
36	224	0.10
36	740	0.06
36	69	0.53
36	331	0.50
36	492	0.22
36	209	0.04
36	275	0.60
36	214	0.21
36	890	0.87
36	666	0.86
36	442	0.11
37	512	0.96
37	514	0.44
37	66	0.14
37	518	0.81
37	359	0.10
37	649	0.88
37	234	0.31
37	299	0.25
37	301	0.02
37	561	0.84
37	627	0.49
37	820	0.02
37	602	0.32
37	859	0.45
37	926	0.06
37	81	0.66
38	544	0.52
38	771	0.24
38	905	0.45
38	842	0.04
38	564	0.95
38	502	0.38
38	535	0.03
38	856	0.72
39	896	0.84
39	98	0.33
39	516	0.79
39	71	0.58
39	892	0.71
39	110	0.24
39	241	0.69
39	754	0.11
39	531	0.41
39	148	0.55
39	600	0.02
39	441	0.31
39	826	0.16
39	219	0.72
39	796	0.84
40	229	0.98
40	775	0.29
40	490	0.21
40	871	0.53
40	236	0.13
40	116	0.66
40	663	0.46
40	509	0.16
41	288	0.87
41	708	0.85
41	934	0.71
41	72	0.03
41	748	0.92
41	626	0.51
41	759	0.66
41	388	0.11
41	313	0.71
41	318	0.86
42	929	0.18
42	548	0.84
42	292	0.18
42	971	0.63
42	940	0.13
42	973	0.16
42	302	0.29
42	239	0.94
42	78	0.97
42	598	0.07
42	120	0.49
42	985	0.24
42	987	0.78
42	860	0.06
42	639	0.66
43	362	0.39
43	845	0.20
43	913	0.71
43	949	0.91
43	636	0.86
43	734	0.78
44	936	0.86
44	55	0.89
44	527	0.10
44	789	0.54
44	999	0.82
45	97	0.46
45	643	0.07
45	263	0.47
45	587	0.86
45	623	0.32
45	113	0.62
45	372	0.40
46	480	0.90
46	707	0.70
46	773	0.19
46	422	0.98
46	175	0.80
46	559	0.84
46	83	0.46
46	373	0.99
46	794	0.39
46	379	0.31
47	617	0.32
47	151	0.51
47	338	0.78
47	211	0.67
47	52	0.23
47	425	0.52
47	825	0.10
47	506	0.01
47	223	0.71
47	863	0.33
48	74	0.85
48	220	0.24
48	158	0.88
48	990	0.01
49	706	0.39
49	91	0.82
49	964	0.47
49	679	0.23
49	458	0.97
49	555	0.59
49	685	0.33
49	624	0.24
49	249	0.41
49	443	0.84
50	838	0.32
50	167	0.18
50	975	0.04
50	433	0.99
50	243	0.48
50	122	0.94
51	248	0.39
51	210	0.55
51	835	0.16
51	477	0.19
52	425	0.59
52	617	0.04
52	491	0.05
52	338	0.79
52	211	0.89
52	503	0.56
52	825	0.79
52	506	0.20
52	223	0.72
52	151	0.09
52	863	0.12
53	96	0.05
53	806	0.90
53	402	0.13
53	718	0.61
53	431	0.29
53	498	0.79
53	88	0.10
53	251	0.25
54	640	0.11
54	712	0.10
54	432	0.13
54	562	0.80
54	344	0.85
54	121	0.77
54	923	0.91
54	285	0.41
54	606	0.37
55	936	0.46
55	789	0.95
55	999	0.30
56	996	0.96
56	459	0.10
56	846	0.57
56	495	0.35
56	915	0.16
56	217	0.10
56	473	0.28
56	59	0.13
57	488	0.05
57	274	0.98
57	210	0.58
58	899	0.69
58	388	0.91
58	197	0.45
58	264	0.24
58	844	0.30
58	138	0.12
58	203	0.53
58	748	0.64
58	368	0.83
58	470	0.55
58	759	0.18
58	858	0.48
58	603	0.07
59	846	0.86
59	974	0.37
60	206	0.96
60	410	0.45
60	427	0.12
60	637	0.19
60	398	0.12
61	456	0.76
61	312	0.09
61	518	0.83
61	942	0.04
61	446	0.84
62	353	0.36
62	515	0.19
62	551	0.04
62	700	0.27
62	140	0.58
62	749	0.87
62	177	0.45
62	912	0.60
62	305	0.19
62	444	0.11
62	415	0.17
63	71	0.41
63	892	0.33
63	365	0.65
63	787	0.22
63	796	0.11
63	670	0.26
64	577	0.06
64	354	0.20
64	741	0.88
64	937	0.65
64	685	0.00
64	270	0.84
64	784	0.22
64	180	0.69
64	568	0.35
64	250	0.29
65	227	0.56
65	582	0.14
65	972	0.75
65	394	0.11
65	556	0.43
65	570	0.91
65	314	0.61
65	412	0.99
65	733	0.41
66	514	0.55
66	299	0.19
66	81	0.55
66	359	0.83
66	649	0.89
66	234	0.26
66	523	0.05
66	716	0.33
